dataset,algorithm,total_cost,vehicles_used,total_distance_km,waiting_total,avg_distance_per_route,avg_wait_per_client,lateness_P_sum,horizon_excess_E,makespan_E,sum_route_time_E,avg_route_time_E
app_20_tight,Savings,304503.63,19,12888.029999999999,1248.9,678.3173684210526,62.44500000000001,955.6699999999998,1331.96,833.87,11608.529999999997,610.9752631578946
app_20_tight,Insertion,304503.62999999995,19,12888.029999999993,1248.9,678.3173684210523,62.44500000000001,955.6699999999998,1331.9599999999998,833.87,11608.53,610.9752631578948
app_20_medium,Savings,153801.05000000002,14,9174.650000000003,853.6499999999999,655.3321428571431,42.68249999999999,516.8500000000001,583.37,800.3399999999999,8400.71,600.0507142857142
app_20_medium,Insertion,152698.87,13,8972.47,589.72,690.1899999999999,29.486,516.8500000000001,583.37,800.3399999999999,7940.15,610.7807692307692
app_20_loose,Savings,125572.51999999999,15,10586.12,404.63,705.7413333333334,20.2315,315.66999999999996,530.05,716.29,8706.17,580.4113333333333
app_20_loose,Insertion,124131.18999999999,14,10044.790000000003,384.80000000000007,717.4850000000002,19.240000000000002,315.66999999999996,530.05,716.29,8263.0,590.2142857142857
app_20_very_loose,Savings,16366.899999999998,10,6326.499999999997,382.98,632.6499999999997,19.149,8.670000000000016,0.0,587.6600000000001,5324.74,532.4739999999999
app_20_very_loose,Insertion,16329.980000000001,10,6289.58,378.51,628.958,18.9255,8.670000000000016,0.0,587.6600000000001,5325.17,532.517
app_40_tight,Savings,300049.53,31,18667.529999999995,2171.4700000000003,602.178387096774,54.286750000000005,1317.71,794.6400000000001,804.47,17120.07,552.2603225806452
app_40_tight,Insertion,300049.53,31,18667.530000000002,2171.4700000000003,602.1783870967743,54.286750000000005,1317.71,794.6400000000001,804.47,17120.069999999996,552.260322580645
app_40_medium,Savings,155592.11,20,11998.910000000005,1328.48,599.9455000000003,33.212,579.42,467.18999999999994,807.28,10885.04,544.2520000000001
app_40_medium,Insertion,153281.3,18,11488.099999999999,835.3,638.2277777777776,20.8825,579.42,467.18999999999994,807.28,10053.42,558.5233333333333
app_40_loose,Savings,96478.83000000002,20,13254.030000000004,876.3299999999998,662.7015000000002,21.908249999999995,218.83999999999997,324.70000000000016,674.47,11411.110000000002,570.5555000000002
app_40_loose,Insertion,93511.64000000001,20,13297.64,690.31,664.882,17.257749999999998,193.75,324.70000000000016,674.47,11319.45,565.9725000000001
app_40_very_loose,Savings,144559.65999999997,19,13802.860000000002,287.39000000000004,726.4663157894738,7.184750000000001,18.899999999999977,928.2399999999999,847.98,11291.26,594.2768421052632
app_40_very_loose,Insertion,144615.99,19,13859.189999999997,255.03,729.4310526315788,6.37575,18.899999999999977,928.2399999999999,847.98,11294.679999999997,594.456842105263
app_80_tight,Savings,1096473.15,62,42304.34999999999,4930.289999999999,682.3282258064514,61.628624999999985,3628.6300000000006,4691.109999999998,985.66,39059.149999999994,629.9862903225805
app_80_tight,Insertion,1089821.1399999997,60,41910.34,4388.48,698.5056666666666,54.855999999999995,3591.4799999999996,4691.109999999999,985.66,38269.27999999999,637.8213333333332
app_80_medium,Savings,178633.00999999998,33,18055.010000000002,2581.17,547.1215151515153,32.264625,956.36,134.28999999999996,684.9,17030.32,516.070303030303
app_80_medium,Insertion,179091.38,33,18513.38,2112.8900000000003,561.0115151515151,26.411125000000006,956.36,134.28999999999996,684.9,17038.32,516.3127272727272
app_80_loose,Savings,30434.539999999997,17,9866.54,934.5900000000001,580.384705882353,11.682375000000002,43.89999999999998,0.0,599.21,8535.51,502.0888235294118
app_80_loose,Insertion,25184.070000000007,17,9884.070000000009,631.81,581.4158823529417,7.897625,0.0,0.0,599.21,8289.390000000001,487.6111764705883
app_80_very_loose,Savings,255783.96999999997,33,24751.570000000003,465.41999999999996,750.0475757575758,5.817749999999999,117.35999999999996,1560.4099999999996,835.8199999999999,19837.760000000002,601.1442424242425
app_80_very_loose,Insertion,258715.12999999995,35,25882.730000000003,507.41999999999996,739.5065714285715,6.34275,117.35999999999996,1560.4099999999996,835.8199999999999,20984.76,599.5645714285714
app_120_tight,Savings,474151.2700000001,61,30309.66999999998,6556.530000000001,496.87983606557344,54.637750000000004,2310.7000000000003,930.4800000000001,730.26,30976.539999999997,507.8121311475409
app_120_tight,Insertion,476462.23000000004,62,31720.629999999983,5976.499999999999,511.62306451612875,49.80416666666666,2310.7000000000003,930.4800000000001,730.26,31623.540000000008,510.05709677419367
app_120_medium,Savings,1412959.94,75,55701.14000000001,2409.4300000000003,742.6818666666668,20.078583333333334,4592.58,6155.41,1028.64,47589.72000000001,634.5296000000001
app_120_medium,Insertion,1387641.8800000001,76,56406.28000000001,2391.24,742.1878947368423,19.927,4435.1,6088.530000000001,1028.64,47975.07000000001,631.2509210526317
app_120_loose,Savings,941335.91,71,53850.71000000001,1920.56,758.4607042253522,16.004666666666665,2413.6000000000004,4449.61,885.39,44912.24999999999,632.5669014084506
app_120_loose,Insertion,933405.6599999999,69,53751.65999999998,1042.3999999999999,779.009565217391,8.686666666666666,2363.34,4449.61,885.39,44026.04999999999,638.0586956521737
app_120_very_loose,Savings,165685.13999999998,37,24860.34000000001,1345.7600000000002,671.9010810810814,11.214666666666668,157.93,738.1099999999998,785.5,21171.96,572.2151351351351
app_120_very_loose,Insertion,164484.55999999997,36,24559.759999999995,961.2800000000001,682.2155555555554,8.010666666666667,157.93,738.1099999999998,785.5,20542.260000000002,570.6183333333333
app_200_tight,Savings,1791808.77,135,85861.16999999998,10277.050000000003,636.0086666666665,51.38525000000001,7617.170000000001,5586.5599999999995,843.8399999999999,78954.55000000006,584.848518518519
app_200_tight,Insertion,1787426.25,131,85078.65000000001,8516.899999999998,649.4553435114505,42.58449999999999,7617.170000000002,5586.559999999999,843.8399999999999,76657.56999999999,585.1722900763358
app_200_medium,Savings,3692254.8600000013,153,127657.25999999998,3649.1200000000003,834.3611764705881,18.245600000000003,11404.270000000002,17153.210000000006,1007.29,105831.96999999994,691.7122222222218
app_200_medium,Insertion,3689321.6899999995,151,126660.88999999998,3323.4999999999995,838.8138410596025,16.617499999999996,11397.319999999998,17159.019999999997,1007.29,104882.96999999999,694.5892052980132
app_200_loose,Savings,1367745.17,104,78765.16999999997,2900.9700000000003,757.3574038461536,14.504850000000001,3275.739999999999,6685.759999999999,862.4300000000001,66029.89999999998,634.9028846153844
app_200_loose,Insertion,1362721.1099999996,103,79154.31000000004,2577.4300000000003,768.4884466019422,12.887150000000002,3238.129999999999,6685.7599999999975,862.4300000000001,66171.86,642.4452427184466
app_200_very_loose,Savings,426498.74,66,47431.93999999997,1404.0199999999995,718.6657575757572,7.020099999999998,689.0600000000001,1974.8300000000002,802.44,39172.92,593.5290909090909
app_200_very_loose,Insertion,426533.45999999996,66,47466.66,1203.1799999999998,719.1918181818182,6.015899999999999,689.06,1974.83,802.44,39250.64000000002,594.7066666666669
